t,rho,TAS,prop_omega,STEdot,bank_rad
1869.81,1.17382,13.6768,271.224,11.0892,0
1869.91,1.17382,13.8806,271.329,1.41904,0
1870.01,1.17382,14.0163,271.329,0.68762,0
1870.11,1.17382,14.1264,271.329,-6.24608,0
1870.21,1.17382,14.222,271.329,0.527061,0
1870.31,1.17382,14.3087,271.329,17.9792,0
1870.41,1.17382,14.5024,271.434,7.85281,0
1870.51,1.17382,14.6887,271.434,0.995756,0
1870.61,1.17382,14.8036,271.434,1.46215,0
1870.71,1.17382,14.9195,271.434,7.50542,0
1870.81,1.17382,15.0777,271.483,7.80409,0
1870.91,1.17382,15.1607,271.538,9.76272,0
1871.01,1.17382,15.1099,271.538,10.4222,0
1871.11,1.17382,15.0507,271.434,10.5311,0
1871.21,1.17382,15.0283,271.434,7.01877,0
1871.31,1.17382,14.9116,271.538,4.27337,0
1871.41,1.17382,14.7652,271.538,3.95043,0
1871.51,1.17382,14.6167,271.538,3.08672,0
1871.61,1.17382,14.4939,271.538,3.63545,0
1871.71,1.17382,14.4181,271.434,4.43675,0
1871.81,1.17382,14.3497,271.434,3.37741,0
1871.91,1.17382,14.2921,271.434,3.84785,0
1872.01,1.17382,14.2453,271.434,3.60153,0
1872.11,1.17382,14.1624,271.434,3.05404,0
1872.21,1.17382,14.0704,271.434,3.27468,0
1872.31,1.17382,14.0055,271.538,3.33364,0
1872.41,1.17382,13.9184,271.434,3.01744,0
1872.51,1.17382,13.8273,271.434,3.09067,0
1873.71,1.17382,13.7032,271.643,3.68204,0
1873.81,1.17382,13.7293,271.643,3.78398,0
1873.91,1.17382,13.7537,271.643,4.22962,0
1874.01,1.17382,13.7844,271.643,3.92824,0
1874.11,1.17382,13.8487,271.643,4.48854,0
1874.21,1.17382,13.9264,271.643,4.57495,0
1874.31,1.17382,13.9779,271.643,3.52909,0
1874.41,1.17382,14.0392,271.643,4.40058,0
1874.51,1.17382,14.0843,271.643,4.91146,0
1874.61,1.17382,14.0993,271.643,3.91693,0
1874.71,1.17382,14.1304,271.748,4.55497,0
1874.81,1.17382,14.1599,276.473,7.32577,0
1874.91,1.17382,14.1895,291.33,9.03557,0
1875.01,1.17382,14.2592,295.624,9.65648,0
1875.11,1.17382,14.3295,296.559,9.65002,0
1875.21,1.17382,14.4232,296.739,9.90998,0
1875.31,1.17382,14.5349,296.88,8.58277,0
1875.41,1.17382,14.6419,296.526,9.72025,0
1875.51,1.17382,14.7395,295.544,8.44771,0
1875.61,1.17382,14.8266,289.655,6.68962,0
1875.71,1.17382,14.8931,284.419,6.23483,0
1875.81,1.17382,14.9334,280.619,5.17844,0
1875.91,1.17382,14.9967,277.302,4.94721,0
1876.01,1.17382,15.0508,273.955,3.15205,0
1876.11,1.17382,15.1128,271.055,3.0984,0
1876.21,1.17382,15.16,268.397,2.34877,0
1876.31,1.17382,15.2137,266.003,1.74168,0
1876.41,1.17382,15.2912,263.948,0.558768,0
1876.51,1.17382,15.3737,261.691,-0.11265,0
1876.61,1.17382,15.4229,257.518,-0.76124,0
1876.71,1.17382,15.4552,254.093,-1.31148,0
1876.81,1.17382,15.4957,251.533,-1.74408,0
1876.91,1.17382,15.5651,249.338,-2.74698,0
1877.01,1.17382,15.6474,246.406,-4.09838,0
1877.11,1.17382,15.7247,243.226,-4.80326,0
1877.21,1.17382,15.8124,240.608,-4.94795,0
1877.31,1.17382,15.8793,238.522,-5.38539,0
1877.41,1.17382,15.9309,237.094,-4.41858,0
1877.51,1.17382,15.9684,236.457,-6.30005,0
1877.61,1.17382,15.9785,236.562,-4.81225,0
1877.71,1.17382,15.9892,238.342,-5.3067,0
1877.81,1.17382,16.0186,240.363,-4.07554,0
1877.91,1.17382,16.0683,241.931,-2.68995,0
1878.01,1.17382,16.1214,242.937,-3.23999,0
